,,,,,,/Users/naijeriatowett/Documents/Coding4Billions/TransformHealthDatabase/transform_health_directory/TH-Logo-Tag Top-FC.png,,
,,,,,,,,
,S. No.,Name,Designation,Affiliation,Specialisation,LinkedIn Profile,Consent Message Shared,Consent Received
,1,Adele Waugaman,"Senior Program Officer, AI Innovations Advocacy",Gates Foundation,AI,LinkedIn Profile,,
,2,Aferdita Bytyqi,Executive Director and Founding Member,Digital Transformations for Health Lab,Health systems strengthening,LinkedIn Profile,,
,3,Agnès Couffinhal,Global Program Lead for Health Financing,The World Bank,Health financing,LinkedIn Profile,,
,4,Agnes Soucat,Director Health and Social Protection,AFD - Agence Française de Développement,Health financing,LinkedIn Profile,,
,5,Ana Estela Haddad,Secretary of Information and Digital Health  ,"Ministry of Health, Brazil",,LinkedIn Profile,,
,6,Anaita Singh,"Senior Officer, Integrated Portfolio Management, Digital Health Innovation & Al","Gates Foundation, India Country Office",AI,LinkedIn Profile,,
,7,Andrea Martina Studer,Chief Executive Officer,Fondation Botnar,Digital health philanthropy,LinkedIn Profile,,
,8,Angela Nzioki,Vice President Enterprise Services & Partnerships/ Kenya MD,"Kasha Global, Inc.",Digital health strategy / non-profit management ,LinkedIn Profile,,
,9,Angélica Baptista Silva,Member of ISfTeH - WoW,International Society for Telemedicine & eHealth,Researcher ,Linkedln Profile,,
,10,Ann Aerts,Head,Novartis Foundation,Digital health advocacy,LinkedIn Profile,,
,11,"Anne Forsyth","Director, Clinical Applications and Decision Support ",Women's College Hospital,,LinkedIn Profile,,
,12,Anne Stake,Al Product and Portfolio,Gates Foundation,Digital health innovation,LinkedIn Profile,,
,13,Annie (Mary-Anne) Hartley,Director of LiGHT (Laboratory for Intelligent Global Health and Humanitarian Response Technologies),Ariadne Labs / EPFL School of Computer and Communication Services,AI / Machine Learning,LinkedIn Profile,,
,14,Assiatou Kama Niang,Co-founder and Executive Director ,Community Innovation Hub,Innovation and advocacy,Linkedln Profile,,
,15,Audrey TOURE,Communications Officer,Union Béninoise de Pharmaciens (UBPHAR),Digital health strategy / non-profit management ,LinkedIn Profile,,
,16,Béatrice Garrette,Director General,Fondation Pierre Fabre ,Digital health philanthropy,LinkedIn Profile,,
,17,Beatrice Murage,"Global Director, Sustainability and Access to Care",Philips,Digital health strategy / non-profit management ,LinkedIn Profile,,
,18,Carol Kamasaka,Digital Health Specialist and President,Uganda Health Informatics Association,Health information systems,LinkedIn Profile,,
,19,Carolina Batista,Partner& Head of Global Health ,Baraka Impact Finance,Health financing,LinkedIn Profile,,
,20,Caroline (Franck) Perrin ,Executive Director,Geneva Digital Health Hub (gdhub),Health information systems,LinkedIn Profile,,
,21,Caroline Shakwei Mbindyo,Chief Innovation Officer,Amref Health Africa,Digital health strategy / non-profit management ,LinkedIn Profile,,
,22,Christina Villella,"Member/Treasurer, Board of Directors",Global Digital Health Network,Health information systems,LinkedIn Profile,,
,23,Danielle (Danny) Simpson-Cupido,Chief Executive Officer,CHAPS - Centre for HIV/AIDS Prevention Studies,Digital health strategy / non-profit management ,LinkedIn Profile,,
,24,Derya Şahin (Dr),Digital Health and Data Governance Consultant,The World Bank,AI,LinkedIn Profile,,
,25,Effy Vayena,Co Director,Stavros Niarchos Foundation Bioethics Academy ,Digital health policy,LinkedIn Profile,,
,26,Erica Layer,Chief Operating Officer,health.enabled,Digital health policy,LinkedIn Profile,,
,27,Fazilah Shaik Allaudin,Penang State Health Director,"Ministry of Health, Malaysia",Digital health policy,LinkedIn Profile,,
,28,Florence Gaudry-Perkins,Founder & CEO,Digital Health Partnerships,Digital health advocacy,LinkedIn Profile,,
,29,Ilona Kickbusch,Director ,DTH Lab,Digital health policy,LinkedIn Profile,,
,30,Iveth J. González,Head of Health Programme,Terre des hommes foundation,Health systems strengthening,LinkedIn Profile,,
,31,Jacqueline Pienaar,Chief of Party,Project Last Mile,Health systems strengthening,LinkedIn Profile,,
,32,Jennifer Nelson,Senior Specialist Digital Health Solutions ,Inter-American Development Bank,Digital health transformation and innovation,Linkedln Profile,,
,33,Joseline Carías Galeano,Chief Operating Officer,RECAINSA,Digital health strategy / non-profit management ,LinkedIn Profile,,
,34,Joy Kamunyori,Partner/Community Member,RootsAl Foundation,Health information systems,LinkedIn Profile,,
,35,Kalipso Chalkidou,Director Health Finance and Economics,WHO,Health financing,LinkedIn Profile,,
,36,Karen Austrian,"Director, Girl Center",Population Council,"Adolescent Girls, research and innovarion",Linkedln Profile,,
,37,Karin Källander,Senior Health Specialist,UNICEF,Health systems strengthening,LinkedIn Profile,,
,38,Kirsten Mathieson ,Deputy Director and Policy Lead,Transform Health,Digital health policy,LinkedIn Profile,,
,39,Lauren Wall,Senior Program Officer,Gates Foundation,Digital health strategy / non-profit management ,LinkedIn Profile,,
,40,Leah Eklabadh,USA Country Lead,Madiro.org,Health systems strengthening,LinkedIn Profile,,
,41,Leona Rosenblum,"Deputy Director, Center for Digital Health",JSI,Digital health innovation,LinkedIn Profile,,
,42,Madeleine Ballard (Dr),Co-Founder & CEO,Community Health Impact Coalition,Digital health strategy / non-profit management ,LinkedIn Profile,,
,43,Magda Lopes Queta,President,ENDA Sante,Digital health strategy / non-profit management ,LinkedIn Profile,,
,44,Manisha Bhinge,"Vice President, Health",The Rockefeller Foundation,Health systems strengthening,LinkedIn Profile,,
,45,Marelize Gorgens Prestidge,Evaluation of digital and Al solutions,The World Bank,AI,LinkedIn Profile,,
,46,Mathilde Forslund,Chief Executive Officer,Transform Health,Digital health advocacy,LinkedIn Profile,,
,47,Modupe Agueh McCracken,Public Health Advisor,Independent ,Health systems strengthening,LinkedIn Profile,,
,48,Mou Nandi,Co-Founder & CEO,Monere,Digital health innovation,LinkedIn Profile,,
,49,Nanjira Sambuli,"Senior Advocacy Officer, Africa(Inclusive Financial Systems & Digital Public Infrastracture)",Gates Foundation,Digital health advocacy,LinkedIn Profile,,
,50,Natasha Azzopardi Muscat,Director Health Systems,WHO,Health systems strengthening,LinkedIn Profile,,
,51,Natasha Sunderji,Managing Director,Accenture,Health systems strengthening,LinkedIn Profile,,
,52,Neema K. Lugangira,Member of Parliament,Government of Tanzania,Digital health policy,LinkedIn Profile,,
,53,Neha Verma,CEO / Co Founder,Intelehealth,Digital health innovation,LinkedIn Profile,,
,54,Nelly Ale,"Acting Director, Health Workforce Development",Mastercard Foundation,Health workforce,LinkedIn Profile,,
,55,Nicole Spieker ,Chief Executive Officer,PharmAccess Foundation,Digital health innovation,LinkedIn Profile,,
,56,Njide Ndili,Country Director,"PharmAccess, Nigeria",Digital health strategy / non-profit management ,LinkedIn Profile,,
,57,Nnenna Nwakanma,Senior Advisor,Transform Health,Digital health policy,LinkedIn Profile,,
,58,Ntombifikile Nokwethemba Mtshali (Dr),Chief Executive Officer,Shout-It-Now,Health systems strengthening,LinkedIn Profile,,
,59,Olivia Velez,Co-Chair Emeritus/Board Member,Global Digital Health Network,Data science and Health information systems,LinkedIn Profile,,
,60,Olutola Vivian Awosiku,Lead Program Manager,The Africa Digital Health Networks - ADHN,Digital health advocacy,LinkedIn Profile,,
,61,Patty Mechael,Chief Executive Officer,health.enabled,Digital health innovation,Linkedin Profile,,
,62,Peiling Yap,Chief Scientist,HealthAI,AI,LinkedIn Profile,,
,63,Primrose Matambanadzo,Programme Director- Key Populations,The Centre for Sexual Health and HIV/AIDS Research Zimbabwe (CeSHHAR Zimbabwe),Digital health strategy / non-profit management ,LinkedIn Profile,,
,64,Priya Balasubramaniam,Senior Public Health Scientist & Director,Public Health Foundation of India,Health systems strengthening,LinkedIn Profile,,
,65,Priya Morjaria,Head of Global Programme Development,Peek Vision,Digital health innovation,LinkedIn Profile,,
,66,Roopan Gill,"CEO, Co-Founder",Vitala Global Foundation ,Digital health innovation,LinkedIn Profile,,
,67,Rose Nzyoka,Board Director,Global Digital Health Network ,Digital health strategy / non-profit management ,LinkedIn Profile,,
,68,Rosemary K Muliokela,Consultant: Global Digital Adapation kits (DAKs) Implementation and Digital Interventions,World Health Organization,Digital health innovation,LinkedIn Profile,,
,69,Samira Abdulrashid (Dr),Head of Medical,MYDAWA,Digital health innovation,LinkedIn Profile,,
,70,Sara (Meg) Davis ,Research and Impact Director,Centre for Interdisciplinary Methodologies - University of Warwick,Digital health rights,LinkedIn Profile,,
,71,Sherri Haas,"ET Consultant, Digital Public Infrastracture & Government Services Team",The World Bank,Health systems strengthening,LinkedIn Profile,,
,72,Smisha Agarwal,"Director, Center for Global Digital Health Innovation",Johns Hopkins Bloomberg School of Public Health,Digital health innovation,LinkedIn Profile,,
,73,Sophia Pirsch,Investigator ,Center for Implementation and Innovation in Health Policies,Research,Linkedln Profile,,
,74,Stephanie Watson-Grant,Learning Strategist,The END Fund,Health information systems,LinkedIn Profile,,
,75,Sukanya Poddar,Managing Trustee,Committed Communities Development Trust,Health systems strengthening,LinkedIn Profile,,
,76,Tara Nutley,"Executive Advisor, Digital Health","health.enabled, Palladium, Abt Global",Digital health strategy / non-profit management ,LinkedIn Profile,,
,77,Thobekile Finger,Director of Programs ,Higher Health SA ,Health systems strengthening,LinkedIn Profile,,
,78,Vidya Mahadevan,Senior Data Governance Advisor,USAID,Digital health policy,LinkedIn Profile,,
,79,Viviane (Dr V) Oke,Founder,ELLES App,Digital health innovation,LinkedIn Profile,,
,80,Yacine Diop Djibo,Founder & Executive Director,Speak Up Africa,Digital health advocacy,LinkedIn Profile,,
,81,Yashmita Naidoo,Chief Executive Officer,HIVSA,Health systems strengthening,LinkedIn Profile,,
,,,,,,,,
,,,,,,,,
,,Keep an eye out incase professional status changes ,,,,,,
,,Laurie Werner,,,,,,
